Country,Happiness Index,Unemployment rate (%),GDP per hour worked ($),Non-fatal occupational injuries per 100'000 workers,Occupational fatalities per 100'000 workers,Inspectors per 10'000 employed persons,min. monthly wage (PPP $),Extremely poor (%),Moderately poor (%),Not extremely or moderately poor (%),Average hours per week per employed person,Share of employed working 49 or more hours per week (%),Employment to Population ratio %
Serbia,6.606,8.3,28.8,,,,1015.0,0.0,0.0,100.0,42.0,12.0,53.3
Seychelles,,2.9,,165.0,4.8,3.1,746.0,,,,40.7,14.0,
Sierra Leone,2.998,3.2,2.6,,,,123.0,27.0,35.0,38.0,42.7,36.0,51.6
Singapore,6.565,3.4,96.9,613.0,1.3,1.1,,,,,42.6,,68.1
Slovakia,6.221,5.8,47.6,328.0,1.4,1.1,1179.0,,,,37.7,6.0,57.3
Slovenia,6.792,3.7,60.1,1599.0,1.5,0.9,2020.0,,,,38.7,7.0,56.2
Solomon Islands,,,2.6,,,,222.0,31.0,34.0,35.0,34.6,11.0,83.1
Somalia,4.347,18.8,6.4,,,,,63.0,22.0,15.0,31.4,10.0,27.5
South Africa,5.213,32.1,21.6,,,,620.0,8.0,12.0,80.0,42.6,17.0,38.8
South Sudan,,,3.4,,,,,,,,,,64.5
Spain,6.466,12.2,67.9,2347.0,1.9,1.1,2006.0,,,,36.7,7.0,50.8
Sri Lanka,3.891,4.5,18.0,16.0,0.7,0.6,194.0,1.0,13.0,87.0,42.4,26.0,47.2
State Of Palestine,4.78,24.4,,74.0,1.0,0.9,,0.0,0.0,100.0,41.5,18.0,34.0
Sudan,,7.5,,,,,2.0,22.0,36.0,43.0,,,34.7
Suriname,,7.9,25.3,,,,285.0,0.0,1.0,99.0,,,50.3
Sweden,7.345,7.6,85.7,689.0,0.8,0.5,,,,,35.3,6.0,59.6
Switzerland,6.935,4.0,85.4,2006.0,0.8,1.3,3665.0,,,,35.7,9.0,64.0
Syrian Arab Republic,,,7.6,,,,19.0,25.0,42.0,34.0,,,33.0
Taiwan China,6.669,3.8,67.4,,,,,0.0,0.0,100.0,,,57.2
Tajikistan,5.411,0.1,9.7,,,,124.0,2.0,9.0,89.0,41.5,31.0,36.2
Tanzania,3.8,2.8,3.7,,,,228.0,40.0,30.0,30.0,39.7,28.0,81.6
Thailand,6.222,0.7,18.5,762.0,5.3,0.2,815.0,0.0,0.0,100.0,42.3,17.0,65.6
Timor-Leste,,1.5,9.4,,,,250.0,16.0,40.0,44.0,34.9,20.0,65.3
Togo,4.315,2.0,4.3,,,,235.0,15.0,32.0,54.0,,,57.0
Tonga,,1.7,14.0,,,,,,,,38.3,14.0,50.2
Trinidad And Tobago,5.905,3.4,32.2,,,,758.0,0.0,0.0,100.0,,,54.8
Tunisia,4.552,15.1,19.2,,,,500.0,0.0,0.0,100.0,44.3,18.0,38.1
Turkmenistan,,,31.6,,,,609.0,2.0,12.0,86.0,,,45.4
Tuvalu,,7.3,,,,,,,,,36.4,15.0,
Türkiye,5.262,9.4,40.2,2459.0,6.3,0.3,1872.0,0.0,0.0,100.0,43.9,28.0,49.3
Uganda,4.461,3.4,3.2,,,,98.0,35.0,31.0,34.0,44.5,21.0,78.4
Ukraine,4.68,9.8,,166.0,7.6,0.8,752.0,,,,39.0,13.0,
United Arab Emirates,6.759,2.2,43.0,,,,,0.0,0.0,100.0,50.9,39.0,76.2
United Kingdom,6.728,4.0,69.5,692.0,0.8,0.3,2414.0,,,,35.9,11.0,59.2
United States Of America,6.724,4.0,81.8,900.0,5.3,0.1,1257.0,,,,38.0,13.0,59.1
United States Virgin Islands,,,70.3,,,,,,,,,,47.8
Uruguay,6.661,8.4,38.1,2654.0,3.7,0.6,774.0,0.0,0.0,100.0,37.3,9.0,58.4
Uzbekistan,6.193,5.3,12.7,8.0,3.0,0.2,307.0,1.0,2.0,97.0,,,53.0
Vanuatu,,4.0,5.9,,,,321.0,,,,24.7,4.0,55.2
Venezuela,5.683,7.5,15.7,,,,,23.0,31.0,46.0,,,49.5
Venezuela Bolivarian Republic Of,,,,,,,,,,,38.7,6.0,
Vietnam,6.352,1.6,12.4,,,,693.0,1.0,3.0,96.0,41.6,25.0,72.5
Wallis And Futuna,,3.3,,,,,,,,,,,
Wallis And Futuna Islands,,,,,,,,,,,31.8,6.0,
Western Sahara,,,7.7,,,,,,,,,,52.6
Yemen,3.561,,12.0,,,,,48.0,29.0,23.0,41.5,27.0,27.2
Zambia,3.912,5.9,5.2,,,,192.0,60.0,18.0,22.0,43.5,20.0,55.8
Zimbabwe,3.396,9.3,4.5,322.0,6.0,1.0,328.0,35.0,24.0,41.0,41.3,18.0,59.5
